iter	Accuracy	Logloss
1992	0.8315431929	0.3794195886
1993	0.8315431929	0.3794195288
1994	0.8313901894	0.3793968472
1995	0.8313901894	0.379396638
1996	0.8313901894	0.3793966082
1997	0.8313595887	0.3793695038
1998	0.8313595887	0.3793691153
1999	0.8313595887	0.379369205
2000	0.8313595887	0.3793688763
2001	0.8313595887	0.3793688763
2002	0.8313595887	0.3793688464
2003	0.8313595887	0.379368697
2004	0.8315125922	0.3793332253
2005	0.8315431929	0.3793149366
2006	0.8315431929	0.3793149366
2007	0.8314819915	0.3792959008
2008	0.8314819915	0.3792959008
2009	0.8314819915	0.3792958111
2010	0.8314819915	0.3792944365
2011	0.8314819915	0.3792772236
2012	0.8314819915	0.3792772834
2013	0.8314819915	0.3792772834
2014	0.8314819915	0.3792772535
2015	0.8314819915	0.3792771937
2016	0.8315431929	0.379243007
2017	0.8315431929	0.3792428576
2018	0.8315737936	0.3792427381
2019	0.8315737936	0.3792406163
2020	0.8315737936	0.379240437
2021	0.8315737936	0.3792403175
2022	0.8315737936	0.379239929
2023	0.8315737936	0.3792256447
2024	0.8315737936	0.3792254654
2025	0.8315737936	0.3792221185
2026	0.8315737936	0.3792220288
2027	0.8316043943	0.3792200864
2028	0.8316043943	0.3792198473
2029	0.8316043943	0.379219668
2030	0.8316043943	0.3792195186
2031	0.8316043943	0.3792194887
2032	0.8316043943	0.3792193692
2033	0.8315431929	0.3792106133
2034	0.8315431929	0.3792105237
2035	0.8315431929	0.3792098662
2036	0.8315431929	0.3792097766
2037	0.8315431929	0.3792096869
2038	0.8315431929	0.3792095375
2039	0.8315431929	0.3792093582
2040	0.831634995	0.3791767254
2041	0.831634995	0.3791764565
2042	0.831634995	0.3791762772
2043	0.831634995	0.3791583172
2044	0.8316655956	0.379123742
2045	0.8316655956	0.3791236524
2046	0.8316655956	0.379123503
2047	0.8316655956	0.379123503
2048	0.8316655956	0.3791229949
2049	0.8316961963	0.3791197078
2050	0.8316961963	0.379119648
2051	0.8316961963	0.3790982813
2052	0.8316961963	0.3790979227
2053	0.8316961963	0.3790978629
2054	0.8316961963	0.3790976537
2055	0.8316961963	0.379097594
2056	0.8317573977	0.3790496609
2057	0.831726797	0.3790268299
2058	0.831726797	0.3790231542
2059	0.831726797	0.3790201659
2060	0.831726797	0.3790192992
2061	0.8317879984	0.378999875
2062	0.8318185991	0.3789889974
2063	0.8318185991	0.378988848
2064	0.8318185991	0.3789888181
2065	0.8318185991	0.3789886388
2066	0.8318185991	0.3789884894
2067	0.8318185991	0.3789884296
2068	0.8318185991	0.3789882503
2069	0.8318185991	0.3789882802
2070	0.8318185991	0.3789881606
2071	0.8318185991	0.3789881606
2072	0.8317573977	0.3789733085
2073	0.8317879984	0.3789641343
2074	0.8317879984	0.378963955
2075	0.8317879984	0.3789638654
2076	0.8317879984	0.3789637757
2077	0.8317879984	0.3789636562
2078	0.8317879984	0.3789635964
2079	0.8317879984	0.378963447
2080	0.8317879984	0.3789633872
2081	0.8317879984	0.3789634171
2082	0.831726797	0.3789565439
2083	0.8317573977	0.3789564244
2084	0.831726797	0.3789563347
2085	0.8317879984	0.3789155438
2086	0.8317879984	0.3789155139
2087	0.8317879984	0.3789152748
2088	0.8317879984	0.3789151852
2089	0.8317879984	0.3789149461
2090	0.8318185991	0.3788946851
2091	0.8318185991	0.3788944161
2092	0.8318185991	0.3788937587
2093	0.8318185991	0.378893161
2094	0.8318185991	0.3788931909
2095	0.8318185991	0.3788924438
2096	0.8318185991	0.3788922645
2097	0.8318185991	0.3788916967
2098	0.8318185991	0.3788905612
2099	0.8318185991	0.3788904715
2100	0.8317573977	0.3788661762
2101	0.8317573977	0.3788542228
2102	0.8317573977	0.3788540734
2103	0.8317573977	0.3788538941
2104	0.8317573977	0.3788538344
2105	0.8317573977	0.3788535355
2106	0.8317573977	0.3788531172
2107	0.8317879984	0.3788490829
2108	0.8317879984	0.3788469612
2109	0.8317879984	0.3788469313
2110	0.8317573977	0.3788110412
2111	0.8317573977	0.378783638
2112	0.8317573977	0.3787807991
2113	0.8318185991	0.3787553085
2114	0.8318185991	0.3787500191
2115	0.8318185991	0.3787499295
2116	0.8318185991	0.3787499295
2117	0.8318185991	0.3787495709
2118	0.8318185991	0.3787493916
2119	0.8317573977	0.3787221378
2120	0.8317573977	0.3787220482
2121	0.8317573977	0.3787218988
2122	0.8317573977	0.378721062
2123	0.8317573977	0.3787141291
2124	0.8317573977	0.3787140693
2125	0.8317879984	0.3787000539
2126	0.8317879984	0.3786993965
2127	0.8317879984	0.3786992471
2128	0.8317879984	0.3786991873
2129	0.8318491998	0.3786729496
2130	0.8318491998	0.3786728301
2131	0.8318491998	0.3786686763
2132	0.8318185991	0.3786627892
2133	0.8317879984	0.3786626996
2134	0.8317879984	0.3786625203
2135	0.8317879984	0.3786622812
2136	0.8317879984	0.3786594722
2137	0.8317879984	0.378659502
2138	0.8318185991	0.3786563045
2139	0.8317879984	0.3786228649
2140	0.8317879984	0.378622835
2141	0.8317879984	0.3786227454
2142	0.8318185991	0.3786071761
2143	0.8318185991	0.3786069669
2144	0.8318185991	0.3786069669
2145	0.8318185991	0.3786068175
2146	0.8318185991	0.3786065186
2147	0.8318185991	0.3785948939
2148	0.8318798005	0.3785898137
2149	0.8318798005	0.3785873932
2150	0.8319104012	0.3785640243
2151	0.8318798005	0.378551264
2152	0.8318798005	0.3785463333
2153	0.8318798005	0.3785455264
2154	0.8318798005	0.3785454667
2155	0.8318798005	0.3785453471
2156	0.8318798005	0.3785449287
2157	0.8318798005	0.3785449287
2158	0.8318491998	0.378544869
2159	0.8318491998	0.3785241298
2160	0.8318491998	0.3785220081
2161	0.8318491998	0.3785217989
2162	0.8318491998	0.3785217989
2163	0.8318491998	0.3785217989
2164	0.8318491998	0.3785217989
2165	0.8318491998	0.3785218587
2166	0.8318491998	0.3785217093
2167	0.8318491998	0.3785214702
2168	0.8318491998	0.3785214702
2169	0.8318491998	0.3785213806
2170	0.8318491998	0.3785213806
2171	0.8318491998	0.3785212311
2172	0.8318491998	0.3785130132
2173	0.8318491998	0.3785129235
2174	0.8318491998	0.3785064089
2175	0.8318491998	0.3785064388
2176	0.8318491998	0.3785064089
